shopid,brand,name,lat,lng,zipcode,address,business_hour1,business_hour2,business_hour3
2261,なか卯,千葉富士見店,35.6097731825956,140.11937371129,260-0015,千葉県千葉市中央区富士見2丁目12-2　柳田ビル1F,24時間営業,,
2263,なか卯,橿原店,34.4876640793748,135.796236635599,634-0046,奈良県橿原市栄和町35-1,24時間営業,,
2264,なか卯,平井南口店,35.7054820320829,139.844441859272,132-0035,東京都江戸川区平井4-8-13　レジェンド平井,24時間営業,,
2265,なか卯,平塚西口店,35.3277293050573,139.347098613018,254-0043,神奈川県平塚市紅谷町16-2　平塚西口会館,24時間営業,,
2266,なか卯,箕面桜井店,34.8152337747943,135.462867015902,562-0043,大阪府箕面市桜井3-3-4,24時間営業,,
2267,なか卯,四街道駅前店,35.6634640596169,140.164400555117,284-0005,千葉県四街道市四街道1-5-3　伸和ビル,24時間営業,,
2268,なか卯,豊水すすきの店,43.0564813447692,141.35661306299,064-0804,北海道札幌市中央区南4条西1-5-2　SB4-1ビル,24時間営業,,
2269,なか卯,飯田橋東口店,35.7000078777492,139.748016230511,102-0072,東京都千代田区飯田橋4-1-1　飯田橋ISビル1F,24時間営業,,
2270,なか卯,千歳店,42.8316279532747,141.646184923633,066-0036,北海道千歳市北栄2-2-35,5:00～翌2:00　ラストオーダー 1:45,,
2271,なか卯,喜連瓜破店,34.6089395920448,135.550440353303,547-0024,大阪府大阪市平野区瓜破2-1-2　藤井ビル,24時間営業,,
2272,なか卯,長田東店,34.6791080975989,135.592406970315,577-0012,大阪府東大阪市長田東2-1-35,24時間営業,,
2273,なか卯,高岳店,35.1750489796346,136.914582106183,461-0001,愛知県名古屋市東区泉2-26-1　ホウコクビル,24時間営業,,
2274,なか卯,桜川店,34.6680997064317,135.489880991905,556-0022,大阪府大阪市浪速区桜川2-2-23,24時間営業,,
2276,なか卯,大泉学園店,35.7514759291209,139.585858438743,178-0063,東京都練馬区東大泉3-19-6　第一豊田ビル,24時間営業,,
2277,なか卯,若江東店,34.6549582540841,135.612511968191,578-0935,大阪府東大阪市若江東町4-4-1,24時間営業,,
2278,なか卯,鳴海店,35.0765856586978,136.948462992988,458-0801,愛知県名古屋市緑区鳴海町字京田10番地,24時間営業,,
2279,なか卯,駒込店,35.7349960718979,139.747561879374,113-0021,東京都文京区本駒込6-24-3　富士ビル1階,24時間営業,金土日 5:00～翌2:00,
2280,なか卯,旭川四条通店,43.7618382986499,142.38452493867,078-8214,北海道旭川市4条通23-5-8,24時間営業,,
2281,なか卯,南塚口店,34.7498448748074,135.411684277528,661-0012,兵庫県尼崎市南塚口町8-10-3,24時間営業,,
2282,なか卯,横堤店,34.7034537771275,135.573654628863,538-0052,大阪府大阪市鶴見区横堤3-10-20　ベル・ビュー横堤,24時間営業,,
2284,なか卯,新田辺店,34.8207482994076,135.771570846625,610-0334,京都府京田辺市田辺中央1-4-3,24時間営業,,
2285,なか卯,東新町店,35.1691615611221,136.91500123136,460-0007,愛知県名古屋市中区新栄1-1-2　名北東新町ビル,24時間営業,,
2286,なか卯,浜寺石津店,34.561581349461,135.456471449139,592-8334,大阪府堺市西区浜寺石津町中1-6-18,24時間営業,,
2287,なか卯,大阪空港前店,34.7931124756627,135.443865445912,560-0036,大阪府豊中市蛍池西町2-11-35,24時間営業,,
2288,なか卯,南堀江店,34.671855813048,135.496721361973,550-0015,大阪府大阪市西区南堀江1-1-12　平和土地四ツ橋ビル,24時間営業,,
2289,なか卯,中村公園店,35.1688919316703,136.855050389306,453-0053,愛知県名古屋市中村区中村町8-39　赤鳥居ビル,平日 4:00～翌3:00　ラストオーダー 2:45,土日 5:00～翌2:00　ラストオーダー 1:45,
2290,なか卯,要町店,35.7330712957043,139.700880289312,171-0014,東京都豊島区池袋3-1-12　三恵池袋ハイツ101号,24時間営業,,
