storeid,brand,name,lat,lon,postalCode,address,business_hour1,business_hour2,business_hour3
131,すき家,いわき湯本店,36.9855460810434,140.869777763269,972-8312,福島県いわき市常磐下船尾町古内290-12,24時間営業,,
133,すき家,新杉田店,35.38537815874,139.618580634362,235-0033,神奈川県横浜市磯子区杉田1-6-6　第3アズサワビル,24時間営業,,
135,すき家,野々市御経塚店,36.5501938992651,136.600052128883,921-8801,石川県野々市市御経塚1531,24時間営業,,
136,すき家,磐田店,34.7347420727477,137.878149579702,438-0016,静岡県磐田市岩井2339,10:00～22:00,,
137,すき家,水戸IC店,36.3863571011594,140.391896985982,311-4143,茨城県水戸市大塚町1531-1,24時間営業,,
138,すき家,金沢高柳店,36.5956126387714,136.662885097054,920-0005,石川県金沢市高柳町3-9-1,24時間営業,,
139,すき家,23号多賀城町前店,38.2863632869891,141.010228145034,985-0845,宮城県多賀城市町前3-7-7,24時間営業,,
141,すき家,東陽町駅西口店（旧東陽町店）,35.6697553464508,139.815417303722,135-0016,東京都江東区東陽3-27-30　ミラ・フローレス1F,24時間営業,,
142,すき家,船橋南店,35.6878495936455,139.994437991924,273-0012,千葉県船橋市浜町1-41-10　第3土井ビル1F,24時間営業,,
143,すき家,仙台松森店,38.3033939492486,140.91388841731,981-3111,宮城県仙台市泉区松森字陣ヶ原5-1,24時間営業,,
144,すき家,高岡南店,36.7388403973135,137.014045449444,933-0871,富山県高岡市駅南5-5-5,24時間営業,,
145,すき家,米沢徳町店,37.9231458826184,140.095573886776,992-0047,山形県米沢市徳町134-1,24時間営業,,
146,すき家,7号酒田北新橋店,38.9240877345782,139.858432768792,998-0865,山形県酒田市北新橋1-19-1,24時間営業,,
147,すき家,飯田店,35.5316940837765,137.864038776765,395-0001,長野県飯田市座光寺4705-1,月～金 10:00～23:00,土日 9:00～22:00,
148,すき家,4号郡山日和田店,37.4407046745164,140.379959705863,963-0534,福島県郡山市日和田町字原12-110,24時間営業,,
149,すき家,大分中央店,33.2484121744153,131.660861860463,870-0914,大分県大分市日岡1-3-22,24時間営業,,
150,すき家,苅田店,33.7652999584426,130.977910611277,800-0353,福岡県京都郡苅田町尾倉1-3-1,24時間営業,,
151,すき家,本牧店,35.4296516854582,139.662218860484,231-0806,神奈川県横浜市中区本牧町2-364,24時間営業,,
152,すき家,相模原緑が丘店（旧相模原南店）,35.5447319781522,139.381795461431,252-0225,神奈川県相模原市中央区緑が丘1-46-28,24時間営業,,
153,すき家,高岡熊野店,36.7614555229924,137.016599196005,933-0903,富山県高岡市熊野町5-30,24時間営業,,
154,すき家,秋田東店,39.711876051796,140.149236231627,010-0042,秋田県秋田市桜1-12-11,24時間営業,,
156,すき家,弘前中央店,40.5963547406006,140.480896015771,036-8004,青森県弘前市大字大町3-1-4,24時間営業,,
157,すき家,秋田北店,39.7709444398983,140.068799358595,011-0951,秋田県秋田市土崎港相染町字大谷地36-4,24時間営業,,
158,すき家,上越店,37.150431741055,138.227806250824,943-0802,新潟県上越市大豆1-9-27,24時間営業,,
159,すき家,佐賀南店,33.2391727112385,130.299189260473,840-0023,佐賀県佐賀市本庄町袋305-2,24時間営業,,
160,すき家,新潟中央店,37.9009158745032,139.036627021639,950-0973,新潟県新潟市中央区上近江2丁目1番18号,24時間営業,,
161,すき家,八日市場店,35.69977940827,140.549861315192,289-2144,千葉県匝瑳市八日市場イ194-1,24時間営業,,
163,すき家,須賀川店,37.2900669669832,140.368010134641,962-0023,福島県須賀川市大黒町282,24時間営業,,
164,すき家,会津若松店,37.5069649237599,139.941225035755,965-0021,福島県会津若松市山見町239-1,24時間営業,,
165,すき家,花園IC店,36.1214094811677,139.239709596298,369-1245,埼玉県深谷市荒川字天神174,10:00～22:00,,
166,すき家,486号福山駅家店,34.5447269897136,133.338468401236,720-1131,広島県福山市駅家町万能倉288-1,24時間営業,,
167,すき家,関内店,35.4418427361967,139.637997810662,231-0028,神奈川県横浜市中区翁町1-4-14　浜吉ビル1F,24時間営業,,
168,すき家,飯塚西店,33.6262261193745,130.669840377906,820-0089,福岡県飯塚市小正298-2,24時間営業,,
169,すき家,おゆみ野店,35.5502868671803,140.17278784778,266-0033,千葉県千葉市緑区おゆみ野南5-7-1,24時間営業,,
171,すき家,東広島御薗宇店,34.4181708066335,132.750217526883,739-0024,広島県東広島市西条町大字御薗宇字下上戸648-1,24時間営業,,
172,すき家,福岡空港店,33.6070597626139,130.458898778962,811-2205,福岡県糟屋郡志免町別府北1-3-18,24時間営業,,
173,すき家,三原店,34.3932317795089,133.06667156069,723-0052,広島県三原市皆実町3-1-1,24時間営業,,
174,すき家,中津店,33.5941062329378,131.195278775296,871-0030,大分県中津市中殿町3-31-14,24時間営業,,
175,すき家,山口維新公園前店,34.1585920047342,131.436020289197,753-0811,山口県山口市維新公園5-2-10,24時間営業,,
176,すき家,115号福島方木田店,37.7400608417706,140.451071682367,960-1101,福島県福島市大森字北島45-1,24時間営業,,
177,すき家,鶴屋町店,35.4691803769286,139.62262338424,221-0835,神奈川県横浜市神奈川区鶴屋町2-11-6,24時間営業,,
179,すき家,長岡IC店,37.4626781505468,138.821092600999,940-2023,新潟県長岡市蓮潟1-1-53,24時間営業,,
180,すき家,土浦店,36.0845064116825,140.205640798077,300-0031,茨城県土浦市東崎町11-3,24時間営業,,
181,すき家,米子中央店,35.4396685087248,133.339630706672,683-0805,鳥取県米子市西福原1-1-45,24時間営業,,
182,すき家,三和町店,36.224441541531,139.797746285344,306-0128,茨城県古河市上片田字新田前843-1,24時間営業,,
183,すき家,大曲店,39.4545005076423,140.498085500207,014-0044,秋田県大仙市戸蒔字錨169,24時間営業,,
184,すき家,西那須野店,36.8987846439984,139.98587988749,329-2706,栃木県那須塩原市睦104-31,24時間営業,,
185,すき家,館林緑町店（旧館林店）,36.2356470736403,139.531063750441,374-0025,群馬県館林市緑町1-30-19,24時間営業,,
186,すき家,広島観音店,34.3793223584755,132.426242888194,733-0035,広島県広島市西区南観音6-14-18,24時間営業,,
187,すき家,福岡和白店,33.6811925457902,130.436076427431,811-0202,福岡県福岡市東区和白1-1-21,24時間営業,,
188,すき家,青森西店,40.8261544269919,140.725118485121,038-0011,青森県青森市篠田2-19-26,24時間営業,,
190,すき家,久留米中央店,33.2946199489539,130.528286847628,839-0863,福岡県久留米市国分町字御供田1604-7,24時間営業,,
191,すき家,412号厚木林店（旧厚木西店）,35.4577215735851,139.350617890579,243-0816,神奈川県厚木市林4-12-34,24時間営業,,
193,すき家,福岡BP店,33.5666699334752,130.459895278247,812-0857,福岡県福岡市博多区西月隈4-5-5,9:00～22:00,,
194,すき家,新潟西店,37.8883845990777,138.99819329055,950-2022,新潟県新潟市西区小針2-38-12,24時間営業,,
195,すき家,秋田南店,39.6989037922904,140.115374641131,010-0062,秋田県秋田市牛島東1-5-3,24時間営業,,
