storeid,brand,name,lat,lon,postalCode,address,business_hour
0000000378,松屋,千川店,35.734884,139.693213,1710043,東京都豊島区要町3-38-3 長崎ビル1F,24時間営業
0000000379,松屋,西八王子店,35.652967,139.316323,1930931,東京都八王子市台町4-47-11 飯田ビル1F,24時間営業
0000000380,松屋,初台店,35.677403,139.689576,1510061,東京都渋谷区初台1-53-9,月・祝翌日以外24時間営業　※月・祝翌日は2時閉店（ラストオーダー1:45）、5時開店
0000000381,松屋,不動前店,35.622958,139.715981,1410031,東京都品川区西五反田4-30-12 福井ビル,24時間営業
0000000384,松屋,志村坂上店,35.773387,139.698419,1740051,東京都板橋区小豆沢3-6-3 糠賀第二ビル1F,24時間営業
0000000385,松屋,板橋本町店,35.758477,139.709708,1730001,東京都板橋区本町36-1 バロール本町1F,24時間営業
0000000386,松屋,東高円寺店,35.694949,139.661903,1660003,東京都杉並区高円寺南1-6-5 サマリヤマンション1F,24時間営業
0000000387,松屋,今里店,34.664978,135.545324,5370014,大阪府大阪市東成区大今里西3-5-1 イル・ソーレ今里駅前,24時間営業
0000000388,松屋,小雑賀店,34.200622,135.187424,6410007,和歌山県和歌山市小雑賀573-9,24時間営業
0000000389,松屋,東小金井店,35.698138,139.527578,1840011,東京都小金井市東町4-42-19,24時間営業
0000000390,松屋,豊田山之手店,35.053209,137.145382,4710833,愛知県豊田市山之手6-70,24時間営業
0000000391,松屋,長後店,35.409718,139.468125,2520807,神奈川県藤沢市下土棚509-10,24時間営業
0000000394,松屋,入谷店 ※3月11日15時より一時閉店、3月14日15時新規改装オープン予定,35.716192,139.787931,1100014,東京都台東区北上野2-31-6 スプリーム･北上野1Ｆ,24時間営業
0000000395,松屋,尾山台店,35.602681,139.656151,1580086,東京都世田谷区尾山台3-22-5 谷岸ビル,5時から翌2時
0000000398,松屋,桜上水店,35.665543,139.636181,1680073,東京都杉並区下高井戸1-22-6,24時間営業
0000000400,松屋,新木場店 ※3月4日15時より一時閉店、3月8日15時オープン予定,35.642688,139.830285,1360082,東京都江東区新木場1-6-1 新木場メトロセンターB棟G-2号,24時間営業
0000000403,松屋,羽村店,35.755858,139.319143,2050011,東京都羽村市五ノ神4-15-11 シティープラザはむら1F,24時間営業
0000000404,松屋,福生店,35.739641,139.331701,1970021,東京都福生市東町3-10 栄和ビル1Ｆ,24時間営業
0000000405,松屋,立川曙橋店,35.697257,139.418772,1900012,東京都立川市曙町2-10-10 緑川ビル1.2Ｆ,24時間営業
0000000406,松屋,上鶴間店,35.534801,139.448263,2520318,神奈川県相模原市南区上鶴間本町5丁目1番2号,24時間営業
0000000407,松屋,我孫子若松店,35.863618,140.019599,2701147,千葉県我孫子市若松140-1,24時間営業
0000000408,松屋,新検見川店,35.648431,140.075951,2620022,千葉県千葉市花見川区南花園2-1-6 朝日ビル新検見川1Ｆ,24時間営業
0000000409,松屋,九条店,34.671731,135.477565,5500027,大阪府大阪市西区九条1－14－26,24時間営業
0000000411,松屋,大阪本町店,34.679061,135.504929,5410054,大阪府大阪市中央区南本町3-3-8,24時間営業
0000000412,松屋,初石店,35.88066,139.920572,2700121,千葉県流山市西初石3-100-19 森田ビル1F,24時間営業
0000000413,松屋,三ノ輪店,35.72708,139.795343,1100011,東京都台東区三ノ輪2－14－10,24時間営業
0000000414,松屋,鷺宮店,35.719762,139.642005,1650032,東京都中野区鷺ノ宮3-18-3 エレガンス鷺ノ宮1F,24時間営業
0000000415,松屋,中野富士見町店,35.687583,139.670381,1640013,東京都中野区弥生町5-27-7 プレミール富士見1F,24時間営業
0000000416,松屋,安城錦町店,34.949379,137.084844,4460035,愛知県安城市錦町8-5,24時間営業
0000000420,松屋,藤沢北口店,35.336637,139.489137,2510052,神奈川県藤沢市藤沢462番地 吉塚ビル1F,24時間営業
0000000421,松屋,梅田角田町店,34.700248,135.503471,5300017,大阪府大阪市北区角田町6-5,24時間営業
0000000422,松屋,東松山店,36.032756,139.404936,3550028,埼玉県東松山市箭弓町1-12-8 大谷ビル,24時間営業
0000000424,松屋,多摩愛宕店,35.626177,139.434201,2060041,東京都多摩市愛宕4-7-3,24時間営業
0000000425,松屋,岡崎北店,34.978666,137.165334,4442121,愛知県岡崎市鴨田町字広元196,24時間営業
0000000426,松屋,蘇我店,35.577452,140.130015,2600834,千葉県千葉市中央区今井2-1-1,24時間営業
0000000429,松屋,豊田十塚店,35.076804,137.163227,4710869,愛知県豊田市十塚町4-23-1,24時間営業
0000000430,松屋,中野新橋店,35.689413,139.677509,1640013,東京都中野区弥生町2-23-3 松屋ビル1F,24時間営業
0000000431,松屋,東船橋店,35.688408,140.008972,2730002,千葉県船橋市東船橋5-15-11,24時間営業
0000000432,松屋,氷川台店,35.746919,139.668023,1790084,東京都練馬区氷川台3-39-9,24時間営業
0000000433,松屋,高島平店,35.779202,139.668776,1750082,東京都板橋区高島平2-1-4,24時間営業
0000000434,松屋,新大塚店,35.72263,139.732741,1700013,東京都豊島区東池袋5-52-16 池田ビル,24時間営業
0000000435,松屋,川口上青木店,35.821575,139.727996,3330844,埼玉県川口市上青木2-47-1,24時間営業
0000000437,松屋,藤沢石川店,35.372038,139.456551,2520815,神奈川県藤沢市石川2-1-1 セレーノ湘南1F,8時から翌1時30分（ラストオーダー1時）
0000000438,松屋,日野店,35.675517,139.396283,1910061,東京都日野市大坂上1-30-24,24時間営業
0000000441,松屋,東千葉店,35.615626,140.130696,2600007,千葉県千葉市中央区祐光2-15-5,24時間営業
0000000443,松屋,逗子店,35.293468,139.583342,2490006,神奈川県逗子市逗子2-6-29,24時間営業
0000000446,松屋,昭島松原町店,35.710683,139.359981,1960003,東京都昭島市松原町1-6-13 AGスクウェアビル1F,24時間営業
0000000447,松屋,和泉店,34.503916,135.434729,5940082,大阪府和泉市富秋町3-2-36,24時間営業
0000000448,松屋,帝京大学前店,35.634594,139.420248,1920352,東京都八王子市大塚131-8,24時間営業
0000000450,松屋,五井店,35.510319,140.091367,2900081,千葉県市原市五井中央西1-14-22 潤間五井ビル,月・祝翌日以外24時間営業　※月・祝翌日は1時閉店、5時開店
